publishedDate,symbol,title,image,site,text,url,cleaned_text,sentiment_score,sentiment_label,news_count_last_24h,average_sentiment_last_24h,news_volatility_impact
2019-04-16 17:52:00,MSFT,Microsoft launches $250 Xbox with no disc drive,https://images.financialmodelingprep.com/news/microsoft-launches-250-xbox-with-no-disc-drive-20190416.jpeg,cnbc.com,Microsoft launches $250 Xbox console with no disc drive,https://www.cnbc.com/2019/04/16/microsoft-250-xbox-one-s-all-digital-edition-no-disc-crive.html,microsoft launches xbox console disc drive,0.0,neutral,1.0,0.0,
2019-04-17 14:43:50,MSFT,Why Microsoft Remains A Better Buy Over Amazon,https://images.financialmodelingprep.com/news/why-microsoft-remains-a-better-buy-over-amazon-20190417.png,seekingalpha.com,"Microsoft's valuation is reasonable given its historical performance, growth potential, brand, and recession resilience.",https://seekingalpha.com/article/4255018-microsoft-remains-better-buy-amazon?source=feed_tag_long_ideas,microsofts valuation reasonable given historical performance growth potential brand recession resilience,-0.0516,negative,2.0,-0.0258,0.03648670990922585
2019-04-18 12:51:00,MSFT,Microsoft acquires Express Logic to help its push into the 'internet of things',https://images.financialmodelingprep.com/news/microsoft-acquires-express-logic-to-help-its-push-into-20190418.jpg,cnbc.com,"Express Logic says it has 6.2 billion deployments of its ThreadX operating system, reflecting the widespread nature of connected devices.",https://www.cnbc.com/2019/04/18/microsoft-acquires-express-logic-internet-of-things-company.html,express logic says billion deployments threadx operating system reflecting widespread nature connected devices,0.0,neutral,2.0,-0.0258,0.03648670990922585
2019-04-19 10:10:09,MSFT,Can Microsoft (MSFT) Keep the Earnings Surprise Streak Alive?,https://images.financialmodelingprep.com/news/can-microsoft-msft-keep-the-earnings-surprise-streak-alive-20190419.jpg,zacks.com,Microsoft (MSFT) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,https://www.zacks.com/stock/news/389007/can-microsoft-msft-keep-the-earnings-surprise-streak-alive,microsoft msft impressive earnings surprise history currently possesses right combination two key ingredients likely beat next quarterly report,0.6597,positive,2.0,0.32985,0.4664783435487654
2019-04-21 12:20:00,MSFT,Microsoft Makes an IoT Push With a New Acquisition,https://images.financialmodelingprep.com/news/microsoft-makes-an-iot-push-with-a-new-acquisition-20190421.jpg,fool.com,"What is Express Logic, and why did Microsoft just buy it?",https://www.fool.com/investing/2019/04/21/microsoft-makes-an-iot-push-with-a-new-acquisition.aspx?source=iedfolrf0000001,express logic microsoft buy,0.0,neutral,1.0,0.0,
2019-04-21 15:18:00,MSFT,Microsoft Earnings: Will Cloud Computing Continue to Provide Momentum?,https://images.financialmodelingprep.com/news/microsoft-earnings-will-cloud-computing-continue-to-provide-momentum-20190421.jpg,fool.com,"After an impressive run over the past year, can Microsoft keep up the pace?",https://www.fool.com/investing/2019/04/21/microsoft-earnings-will-cloud-computing-continue-t.aspx?source=iedfolrf0000001,impressive run past year microsoft keep pace,0.5106,positive,2.0,0.2553,0.36104872247385117
2019-04-22 00:00:00,MSFT,Tech's new Dividend Aristocrat,https://images.financialmodelingprep.com/news/techs-new-dividend-aristocrat-20190422.jpg,fool.com,"Apple is relatively new to paying dividends, but I think it's positioned to be a long-term Dividend Aristocrat.",https://www.fool.com/investing/2019/04/22/3-dividend-stocks-that-should-pay-you-the-rest-of.aspx?source=iedfolrf0000001,apple relatively new paying dividends think positioned longterm dividend aristocrat,0.0,neutral,3.0,0.17020000000000002,0.29479504744822294
2019-04-22 10:19:00,MSFT,Microsoft Ups the Ante in IoT With Express Logic Acquisition,https://images.financialmodelingprep.com/news/microsoft-ups-the-ante-in-iot-with-express-logic-20190422.jpg,zacks.com,Microsoft (MSFT) acquires Express Logic to improve competence in edge and IoT market.,https://www.zacks.com/stock/news/389985/microsoft-ups-the-ante-in-iot-with-express-logic-acquisition,microsoft msft acquires express logic improve competence edge iot market,0.4404,positive,4.0,0.23775000000000002,0.2760219013049508
2019-04-22 10:34:00,MSFT,Factors to Consider Ahead of Microsoft's (MSFT) Earnings,https://images.financialmodelingprep.com/news/factors-to-consider-ahead-of-microsofts-msft-earnings-20190422.jpg,zacks.com,"Microsoft's (MSFT) third-quarter results are likely to benefit from enterprise strength, robust Office 365 & Azure adoption.",https://www.zacks.com/stock/news/390039/factors-to-consider-ahead-of-microsofts-msft-q3-earnings,microsofts msft thirdquarter results likely benefit enterprise strength robust office azure adoption,0.8225,positive,5.0,0.3547,0.3542987157752622
2019-04-23 07:44:00,MSFT,Microsoft employees add support to Chinese tech workers protesting 'grueling' overtime culture,https://images.financialmodelingprep.com/news/microsoft-employees-add-support-to-chinese-tech-workers-protesting-20190423.jpg,cnbc.com,"Voices of support have also come from staff and former employees at Facebook, Google and TripAdvisor.",https://www.cnbc.com/2019/04/23/microsoft-google-and-facebook-staff-protest-against-grueling-work-culture-of-chinese-tech-engineers.html,voices support also come staff former employees facebook google tripadvisor,0.4019,positive,3.0,0.5549333333333334,0.232517748426509
2019-04-23 11:32:43,MSFT,"Microsoft Earnings Growth Seen Slowing In March, June Quarters",https://images.financialmodelingprep.com/news/microsoft-earnings-growth-seen-slowing-in-march-june-quarters-20190423.jpg,feedproxy.google.com,Software leader Microsoft is poised to hit a soft patch in its sales and earnings growth starting with its fiscal third-quarter report. The Microsoft earnings news is due late Wednesday.,https://feedproxy.google.com/~r/InternetTechnologyRss/~3/sOrQNDBLvDA/,software leader microsoft poised hit soft patch sales earnings growth starting fiscal thirdquarter report microsoft earnings news due late wednesday,0.5574,positive,2.0,0.47965,0.10995510447450779
2019-04-23 11:42:00,MSFT,The Smartest People on Wall Street Are Buying These 3 Stocks: Should You?,https://images.financialmodelingprep.com/news/the-smartest-people-on-wall-street-are-buying-these-20190423.jpg,fool.com,Sometimes looking at what others are doing can be a wise investing strategy.,https://www.fool.com/investing/2019/04/23/the-smartest-people-on-wall-street-are-buying-thes.aspx?source=iedfolrf0000001,sometimes looking others wise investing strategy,0.4767,positive,3.0,0.47866666666666663,0.07776865263930766
2019-04-23 12:42:00,MSFT,Clouds Part: Amazon And Microsoft Cloud Businesses In Focus Ahead Of Earnings,https://images.financialmodelingprep.com/news/clouds-part-amazon-and-microsoft-cloud-businesses-in-focus-20190423.jpg,forbes.com,The cloud business is coming into focus as Microsoft and Amazon get set to report their earnings this week.,https://www.forbes.com/sites/jjkinahan/2019/04/23/clouds-part-amazon-and-microsoft-cloud-businesses-in-focus-ahead-of-earnings/,cloud business coming focus microsoft amazon get set report earnings week,0.1779,positive,4.0,0.40347500000000003,0.16323946367223816
2019-04-24 11:15:40,MSFT,What to Watch When Microsoft Reports Late Wednesday,https://images.financialmodelingprep.com/news/what-to-watch-when-microsoft-reports-late-wednesday-20190424.jpg,feedproxy.google.com,Microsoft Corp. is set to report its most recent quarterly results after the markets close on Wednesday.,https://feedproxy.google.com/~r/typepad/RyNm/~3/gmsmbydiHtY/,microsoft corp set report recent quarterly results markets close wednesday,0.0,neutral,4.0,0.30300000000000005,0.25971141676868953
2019-04-24 15:30:00,MSFT,Microsoft set to report third-quarter earnings after the bell,https://images.financialmodelingprep.com/news/microsoft-set-to-report-thirdquarter-earnings-after-the-bell-20190424.jpeg,cnbc.com,"Microsoft is kicking off tech earnings season, with the mega-cap companies all slated to report in the next week.",https://www.cnbc.com/2019/04/24/microsoft-q3-2019-earnings.html,microsoft kicking tech earnings season megacap companies slated report next week,0.0,neutral,2.0,0.0,0.0
2019-04-24 16:20:38,MSFT,Microsoft Again Beats Street On Cloud Computing Strength,https://images.financialmodelingprep.com/news/microsoft-again-beats-street-on-cloud-computing-strength-20190424.jpg,feeds.benzinga.com,"Microsoft Corporation reported a strong third-quarter earnings beat Wednesday on the back of continuing strength in its cloud computing business, coming in at $1.14 per share to top analysts’ estimates by 14 cents.",https://feeds.benzinga.com/~r/benzinga/~3/ptm8puYCKEc/microsoft-again-beats-street-on-cloud-computing-strength,microsoft corporation reported strong thirdquarter earnings beat wednesday back continuing strength cloud computing business coming per share top analysts estimates cents,0.8591,positive,3.0,0.28636666666666666,0.4960016162608074
2019-04-24 16:28:36,MSFT,Microsoft Slides By With Q1 Results,https://images.financialmodelingprep.com/news/microsoft-slides-by-with-q1-results-20190424.jpg,feedproxy.google.com,Microsoft Corp. reported fiscal third quarter financial results after markets closed Wednesday.,https://feedproxy.google.com/~r/typepad/RyNm/~3/2q3B_qO4aZA/,microsoft corp reported fiscal third quarter financial results markets closed wednesday,0.0,neutral,4.0,0.214775,0.4295499999999999
